positionId	positionName	companyId	companyFullName	companyShortName	industryField	financeStage	companySize	salary	workYear	education
7130259	Python开发工程师---0201	60689	北京视野金融信息服务有限公司	视野金融	移动互联网,金融	A轮	50-150人	15k-25k	3-5年	本科
6493176	Python工程师	34457	北京艾唯博瑞科技有限公司	艾唯博瑞	移动互联网,企业服务	未融资	15-50人	12k-15k	3-5年	本科
7633363	python开发工程师	58140	北京天空卫士网络安全技术有限公司	北京天空卫士网络安全	信息安全,移动互联网	A轮	150-500人	12k-20k	1-3年	本科
7646282	python开发工程师	254321	北京熵简科技有限公司	熵简科技	金融,数据服务	B轮	50-150人	15k-30k	应届毕业生	本科
7662475	python	16831	武汉佰钧成技术有限责任公司	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	2000人以上	15k-18k	3-5年	大专
7692676	python开发工程师	161200	唯它时代（苏州）信息技术有限公司	唯它时代	电商,移动互联网	B轮	50-150人	25k-45k	3-5年	本科
7436890	Python开发工程师 (MJ003072)	49579	广州华多网络科技有限公司	欢聚集团（JOYY Inc.）	文娱丨内容	上市公司	2000人以上	20k-40k	3-5年	本科
6720658	Python开发工程师	410579	建信金融科技有限责任公司	建信金科	金融,软件开发	不需要融资	2000人以上	25k-50k	5-10年	本科
7433438	Python开发工程师	42680	北京志凌海纳科技有限公司	SmartX	数据服务	C轮	150-500人	14k-28k	不限	本科
6836537	python数据开发工程师	747007	北京能量盒科技有限公司上海分公司	Fun Plus	游戏	B轮	500-2000人	15k-25k	1-3年	本科
7688564	Python高级工程师（技术平台）	36031	上海一起作业信息科技有限公司	一起教育科技	移动互联网,教育	D轮及以上	2000人以上	25k-50k	5-10年	本科
6951921	Python	125050	北京码博科技有限公司	码博科技	企业服务	不需要融资	15-50人	10k-16k	1-3年	本科
7176245	python工程师	87747	北京靠谱筹信息技术有限公司	窄门集团	移动互联网,金融	C轮	50-150人	15k-25k	3-5年	大专
5312729	服务器端开发工程师（Python/Go）	62	北京字节跳动科技有限公司	字节跳动	文娱丨内容	C轮	2000人以上	30k-45k	3-5年	本科
4775802	Python开发工程师-变现业务	62	北京字节跳动科技有限公司	字节跳动	文娱丨内容	C轮	2000人以上	25k-40k	1-3年	本科
2748374	Python后端工程师	145597	云势天下（北京）软件有限公司	云势软件	企业服务	B轮	150-500人	18k-25k	3-5年	本科
6484395	Python实习生	145597	云势天下（北京）软件有限公司	云势软件	企业服务	B轮	150-500人	5k-8k	1年以下	本科
7705170	高级Python研发工程师	35630	北京升鑫网络科技有限公司	青藤云安全	数据服务	B轮	150-500人	30k-40k	5-10年	本科
5077339	Python助教	6040	北京奥鹏远程教育中心有限公司	慕课网	移动互联网,教育	不需要融资	50-150人	6k-12k	1-3年	本科
7121294	Python 高级开发工程师	221192	北京墨云科技有限公司	墨云科技	信息安全	B轮	50-150人	25k-50k	5-10年	不限
7121306	Python 开发工程师	221192	北京墨云科技有限公司	墨云科技	信息安全	B轮	50-150人	20k-40k	3-5年	本科
7680064	python开发工程师	22862	上海中软华腾软件系统有限公司	上海中软华腾软件系统有限公司	企业服务,金融	上市公司	2000人以上	15k-30k	3-5年	本科
6006571	python数据工程师	494218	北京聚数智途科技有限公司	LinkSteady	企业服务,数据服务	天使轮	15-50人	20k-30k	3-5年	本科
6486188	高级Python工程师	559034	北京黑尾互动科技有限公司	黑尾互动	移动互联网,社交	天使轮	15-50人	25k-40k	5-10年	本科
6536053	高级Python经理	559034	北京黑尾互动科技有限公司	黑尾互动	移动互联网,社交	天使轮	15-50人	28k-40k	5-10年	本科
7665572	Python开发工程师	34960	北京华美汉盛信息技术有限公司	华美汉盛	移动互联网,电商	未融资	50-150人	6k-8k	1-3年	本科
7513564	Python实习生	5142	北京千橡网景科技发展有限公司	人人公司	社交,金融	上市公司	2000人以上	3k-4k	应届毕业生	本科
5939447	python后台开发（深圳）	451	腾讯科技（深圳）有限公司	腾讯	社交	上市公司	2000人以上	30k-50k	3-5年	本科
7133400	高德-高级开发工程师/专家-Python/Go	91	高德软件有限公司	阿里巴巴-高德	工具	上市公司	2000人以上	25k-50k	3-5年	本科
7029517	python工程师	8414	北京一点网聚信息技术有限公司	一点资讯	文娱丨内容	D轮及以上	500-2000人	20k-30k	应届毕业生	本科
6700862	python工程师	8414	北京一点网聚信息技术有限公司	一点资讯	文娱丨内容	D轮及以上	500-2000人	15k-25k	应届毕业生	硕士
7539750	python后端开发工程师	120276878	北京小猎犬互联网科技有限公司	里斯咨询	不限	不需要融资	150-500人	15k-30k	3-5年	本科
7529794	Python架构师	120276878	北京小猎犬互联网科技有限公司	里斯咨询	不限	不需要融资	150-500人	30k-50k	5-10年	本科
7049748	python	1331	北京蓝色光标数字传媒科技有限公司	蓝标传媒	移动互联网,广告营销	不需要融资	500-2000人	12k-20k	3-5年	本科
7625663	Python实习生	23172	北京海天瑞声科技有限公司三河市燕郊分公司	海天瑞声	企业服务	未融资	50-150人	2k-4k	应届毕业生	本科
7693793	Python研究员(J13062)	22462	北京传智播客教育科技有限公司	传智播客	教育	C轮	500-2000人	30k-60k	10年以上	大专
6077907	Python教学实习生	6040	北京奥鹏远程教育中心有限公司	慕课网	移动互联网,教育	不需要融资	50-150人	3k-5k	应届毕业生	不限
